,0,1,2,3,4,5,6,7,8,9,
run,0,1,2,3,4,5,6,7,8,9,average
score,6787.258766,6899.896932,7012.697585,6300.313476,6192.094188,6302.381396,6302.047665,6137.786849,6037.769969,7931.158707,6590.340553
