,0,1,2,3,4,5,6,7,8,9,
run,0,1,2,3,4,5,6,7,8,9,average
score,5591.232031,6656.276774,6896.074383,6041.072581,5320.146711,6545.911158,5896.500196,6005.09678,6382.586576,5743.458981,6107.835617
