,0,1,2,3,4,5,6,7,8,9,
run,0,1,2,3,4,5,6,7,8,9,average
score,6995.199284,6631.531501,6910.643647,7995.164895,6370.021295,7604.765655,6203.478129,7815.961498,7340.181127,7581.821542,7144.876857
