,0,1,2,3,4,5,6,7,8,9
run,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
score,8116.052653130683,8221.585317485265,7842.051904262632,8144.753456636315,8040.1529209338805,8342.775581296362,7879.884152644785,7842.770614717148,8063.299952650341,8015.694223135564
