,0,1,2,3,4,5,6,7,8,9
run,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
score,10874.370865593084,11457.267124758124,11434.008828419763,11605.909697128325,11853.128355041634,11151.12427116749,11461.371640045145,11296.626166517768,11106.880077585964,11490.239341502367
