,0,1,2,3,4,5,6,7,8,9
run,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0
score,9660.766067801873,9916.495445550232,9690.1058844927,9360.694248136031,9317.871932190734,9957.709106076374,9256.014867797903,9933.397872382599,9600.11505008943,9486.600954200858
